ID,NAME,SNAP_People
318,"Census Tract 134.14, San Diego County, California",79
319,"Census Tract 134.15, San Diego County, California",18
320,"Census Tract 134.16, San Diego County, California",22
321,"Census Tract 134.17, San Diego County, California",21
322,"Census Tract 134.18, San Diego County, California",44
323,"Census Tract 134.19, San Diego County, California",98
324,"Census Tract 134.20, San Diego County, California",6
325,"Census Tract 134.21, San Diego County, California",65
326,"Census Tract 135.03, San Diego County, California",246
327,"Census Tract 135.04, San Diego County, California",40
328,"Census Tract 135.05, San Diego County, California",120
329,"Census Tract 135.06, San Diego County, California",103
330,"Census Tract 136.01, San Diego County, California",124
331,"Census Tract 136.04, San Diego County, California",78
332,"Census Tract 136.05, San Diego County, California",217
333,"Census Tract 136.06, San Diego County, California",320
334,"Census Tract 137.01, San Diego County, California",25
335,"Census Tract 137.02, San Diego County, California",199
336,"Census Tract 138.01, San Diego County, California",161
337,"Census Tract 138.02, San Diego County, California",183
338,"Census Tract 139.03, San Diego County, California",74
339,"Census Tract 139.05, San Diego County, California",98
340,"Census Tract 139.06, San Diego County, California",308
341,"Census Tract 139.07, San Diego County, California",382
342,"Census Tract 139.08, San Diego County, California",279
343,"Census Tract 139.09, San Diego County, California",218
344,"Census Tract 140.01, San Diego County, California",156
345,"Census Tract 140.02, San Diego County, California",262
346,"Census Tract 141.01, San Diego County, California",97
347,"Census Tract 141.02, San Diego County, California",191
348,"Census Tract 142, San Diego County, California",189
349,"Census Tract 143, San Diego County, California",160
350,"Census Tract 144, San Diego County, California",484
351,"Census Tract 145, San Diego County, California",116
352,"Census Tract 146.01, San Diego County, California",337
353,"Census Tract 146.02, San Diego County, California",65
354,"Census Tract 147, San Diego County, California",267
355,"Census Tract 148.03, San Diego County, California",104
356,"Census Tract 148.04, San Diego County, California",180
357,"Census Tract 148.05, San Diego County, California",137
358,"Census Tract 148.06, San Diego County, California",107
359,"Census Tract 149.01, San Diego County, California",206
360,"Census Tract 149.02, San Diego County, California",146
361,"Census Tract 150, San Diego County, California",276
362,"Census Tract 151, San Diego County, California",128
363,"Census Tract 152, San Diego County, California",9
364,"Census Tract 153.01, San Diego County, California",239
365,"Census Tract 153.02, San Diego County, California",110
366,"Census Tract 154.03, San Diego County, California",12
367,"Census Tract 154.04, San Diego County, California",537
368,"Census Tract 154.05, San Diego County, California",150
369,"Census Tract 154.06, San Diego County, California",24
370,"Census Tract 155.01, San Diego County, California",84
371,"Census Tract 155.02, San Diego County, California",34
372,"Census Tract 156.01, San Diego County, California",278
373,"Census Tract 156.02, San Diego County, California",0
374,"Census Tract 157.01, San Diego County, California",814
375,"Census Tract 157.03, San Diego County, California",772
376,"Census Tract 157.04, San Diego County, California",209
377,"Census Tract 158.01, San Diego County, California",237
378,"Census Tract 158.02, San Diego County, California",509
379,"Census Tract 159.01, San Diego County, California",380
380,"Census Tract 159.02, San Diego County, California",243
381,"Census Tract 160, San Diego County, California",115
382,"Census Tract 161, San Diego County, California",230
383,"Census Tract 162.01, San Diego County, California",69
384,"Census Tract 162.02, San Diego County, California",167
385,"Census Tract 163.01, San Diego County, California",441
386,"Census Tract 163.02, San Diego County, California",512
387,"Census Tract 164.01, San Diego County, California",198
388,"Census Tract 164.02, San Diego County, California",575
389,"Census Tract 165.02, San Diego County, California",581
390,"Census Tract 165.03, San Diego County, California",192
391,"Census Tract 165.04, San Diego County, California",480
392,"Census Tract 166.05, San Diego County, California",78
393,"Census Tract 166.06, San Diego County, California",39
394,"Census Tract 166.07, San Diego County, California",67
395,"Census Tract 166.08, San Diego County, California",11
396,"Census Tract 166.09, San Diego County, California",115
397,"Census Tract 166.10, San Diego County, California",91
398,"Census Tract 166.12, San Diego County, California",81
399,"Census Tract 166.13, San Diego County, California",22
400,"Census Tract 166.14, San Diego County, California",71
401,"Census Tract 166.15, San Diego County, California",56
402,"Census Tract 166.16, San Diego County, California",211
403,"Census Tract 166.17, San Diego County, California",97
404,"Census Tract 167.01, San Diego County, California",236
405,"Census Tract 167.02, San Diego County, California",272
406,"Census Tract 168.02, San Diego County, California",112
407,"Census Tract 168.04, San Diego County, California",350
408,"Census Tract 168.06, San Diego County, California",245
409,"Census Tract 168.07, San Diego County, California",124
410,"Census Tract 168.09, San Diego County, California",46
411,"Census Tract 168.10, San Diego County, California",56
412,"Census Tract 168.11, San Diego County, California",130
413,"Census Tract 169.01, San Diego County, California",116
414,"Census Tract 169.02, San Diego County, California",42
415,"Census Tract 170.06, San Diego County, California",14
416,"Census Tract 170.09, San Diego County, California",89
417,"Census Tract 170.10, San Diego County, California",0
418,"Census Tract 170.14, San Diego County, California",40
419,"Census Tract 170.15, San Diego County, California",134
420,"Census Tract 170.18, San Diego County, California",57
421,"Census Tract 170.19, San Diego County, California",80
422,"Census Tract 170.20, San Diego County, California",0
423,"Census Tract 170.21, San Diego County, California",19
424,"Census Tract 170.22, San Diego County, California",66
425,"Census Tract 170.29, San Diego County, California",0
426,"Census Tract 170.30, San Diego County, California",202
427,"Census Tract 170.31, San Diego County, California",21
428,"Census Tract 170.32, San Diego County, California",153
429,"Census Tract 170.33, San Diego County, California",40
430,"Census Tract 170.34, San Diego County, California",58
431,"Census Tract 170.35, San Diego County, California",169
432,"Census Tract 170.36, San Diego County, California",19
433,"Census Tract 170.37, San Diego County, California",73
434,"Census Tract 170.39, San Diego County, California",14
435,"Census Tract 170.40, San Diego County, California",54
436,"Census Tract 170.41, San Diego County, California",76
437,"Census Tract 170.42, San Diego County, California",11
438,"Census Tract 170.43, San Diego County, California",15
439,"Census Tract 170.44, San Diego County, California",9
440,"Census Tract 170.45, San Diego County, California",0
441,"Census Tract 170.46, San Diego County, California",0
442,"Census Tract 170.47, San Diego County, California",0
443,"Census Tract 170.48, San Diego County, California",218
444,"Census Tract 170.49, San Diego County, California",94
445,"Census Tract 170.50, San Diego County, California",22
446,"Census Tract 170.51, San Diego County, California",82
447,"Census Tract 170.52, San Diego County, California",60
448,"Census Tract 170.53, San Diego County, California",7
449,"Census Tract 170.54, San Diego County, California",39
450,"Census Tract 170.55, San Diego County, California",8
451,"Census Tract 170.56, San Diego County, California",10
452,"Census Tract 171.04, San Diego County, California",35
453,"Census Tract 171.06, San Diego County, California",26
454,"Census Tract 171.07, San Diego County, California",18
455,"Census Tract 171.08, San Diego County, California",39
456,"Census Tract 171.09, San Diego County, California",42
457,"Census Tract 171.10, San Diego County, California",129
458,"Census Tract 172, San Diego County, California",84
459,"Census Tract 173.03, San Diego County, California",0
460,"Census Tract 173.04, San Diego County, California",60
461,"Census Tract 173.05, San Diego County, California",0
462,"Census Tract 173.06, San Diego County, California",0
463,"Census Tract 174.01, San Diego County, California",61
464,"Census Tract 174.03, San Diego County, California",8
465,"Census Tract 174.04, San Diego County, California",63
466,"Census Tract 175.01, San Diego County, California",67
467,"Census Tract 175.02, San Diego County, California",21
468,"Census Tract 176.01, San Diego County, California",8
469,"Census Tract 176.03, San Diego County, California",8
470,"Census Tract 176.04, San Diego County, California",130
471,"Census Tract 177.01, San Diego County, California",49
472,"Census Tract 177.02, San Diego County, California",42
473,"Census Tract 178.01, San Diego County, California",27
474,"Census Tract 178.08, San Diego County, California",19
475,"Census Tract 178.09, San Diego County, California",14
476,"Census Tract 178.10, San Diego County, California",36
477,"Census Tract 178.11, San Diego County, California",0
478,"Census Tract 178.13, San Diego County, California",0
479,"Census Tract 179, San Diego County, California",183
480,"Census Tract 180, San Diego County, California",28
481,"Census Tract 181, San Diego County, California",225
482,"Census Tract 182, San Diego County, California",331
483,"Census Tract 183, San Diego County, California",8
484,"Census Tract 184, San Diego County, California",142
485,"Census Tract 185.04, San Diego County, California",173
486,"Census Tract 185.07, San Diego County, California",100
487,"Census Tract 185.09, San Diego County, California",289
488,"Census Tract 185.10, San Diego County, California",37
489,"Census Tract 185.11, San Diego County, California",126
490,"Census Tract 185.12, San Diego County, California",82
491,"Census Tract 185.13, San Diego County, California",46
492,"Census Tract 185.14, San Diego County, California",94
493,"Census Tract 185.15, San Diego County, California",71
494,"Census Tract 185.16, San Diego County, California",42
495,"Census Tract 185.17, San Diego County, California",47
496,"Census Tract 185.18, San Diego County, California",99
497,"Census Tract 185.19, San Diego County, California",236
498,"Census Tract 186.01, San Diego County, California",89
499,"Census Tract 186.03, San Diego County, California",351
500,"Census Tract 186.08, San Diego County, California",12
501,"Census Tract 186.09, San Diego County, California",173
502,"Census Tract 186.10, San Diego County, California",209
503,"Census Tract 186.11, San Diego County, California",41
504,"Census Tract 186.12, San Diego County, California",113
505,"Census Tract 186.13, San Diego County, California",50
506,"Census Tract 186.14, San Diego County, California",280
507,"Census Tract 187, San Diego County, California",254
508,"Census Tract 188.01, San Diego County, California",30
509,"Census Tract 188.02, San Diego County, California",100
510,"Census Tract 188.03, San Diego County, California",82
511,"Census Tract 189.03, San Diego County, California",153
512,"Census Tract 189.04, San Diego County, California",148
513,"Census Tract 189.05, San Diego County, California",268
514,"Census Tract 189.06, San Diego County, California",234
515,"Census Tract 190.01, San Diego County, California",107
516,"Census Tract 190.02, San Diego County, California",30
517,"Census Tract 191.01, San Diego County, California",121
518,"Census Tract 191.03, San Diego County, California",39
519,"Census Tract 191.05, San Diego County, California",13
520,"Census Tract 191.06, San Diego County, California",211
521,"Census Tract 191.07, San Diego County, California",37
522,"Census Tract 192.03, San Diego County, California",29
523,"Census Tract 192.05, San Diego County, California",309
524,"Census Tract 192.06, San Diego County, California",173
525,"Census Tract 192.07, San Diego County, California",315
526,"Census Tract 192.08, San Diego County, California",29
527,"Census Tract 193.01, San Diego County, California",117
528,"Census Tract 193.02, San Diego County, California",120
529,"Census Tract 193.03, San Diego County, California",132
530,"Census Tract 194.03, San Diego County, California",61
531,"Census Tract 194.04, San Diego County, California",20
532,"Census Tract 194.05, San Diego County, California",121
533,"Census Tract 194.06, San Diego County, California",119
534,"Census Tract 195.01, San Diego County, California",111
535,"Census Tract 195.02, San Diego County, California",266
536,"Census Tract 195.03, San Diego County, California",194
537,"Census Tract 196.01, San Diego County, California",141
538,"Census Tract 196.02, San Diego County, California",155
539,"Census Tract 197.01, San Diego County, California",163
540,"Census Tract 197.02, San Diego County, California",81
541,"Census Tract 198.03, San Diego County, California",29
542,"Census Tract 198.04, San Diego County, California",0
543,"Census Tract 198.05, San Diego County, California",131
544,"Census Tract 198.06, San Diego County, California",288
545,"Census Tract 198.08, San Diego County, California",0
546,"Census Tract 198.09, San Diego County, California",18
547,"Census Tract 199.02, San Diego County, California",96
548,"Census Tract 199.03, San Diego County, California",80
549,"Census Tract 199.04, San Diego County, California",145
550,"Census Tract 199.05, San Diego County, California",52
551,"Census Tract 200.13, San Diego County, California",28
552,"Census Tract 200.14, San Diego County, California",34
553,"Census Tract 200.15, San Diego County, California",19
554,"Census Tract 200.16, San Diego County, California",0
555,"Census Tract 200.17, San Diego County, California",118
556,"Census Tract 200.18, San Diego County, California",171
557,"Census Tract 200.19, San Diego County, California",109
558,"Census Tract 200.20, San Diego County, California",11
559,"Census Tract 200.21, San Diego County, California",209
560,"Census Tract 200.22, San Diego County, California",64
561,"Census Tract 200.23, San Diego County, California",47
562,"Census Tract 200.24, San Diego County, California",95
563,"Census Tract 200.25, San Diego County, California",122
564,"Census Tract 200.26, San Diego County, California",30
565,"Census Tract 200.27, San Diego County, California",148
566,"Census Tract 200.28, San Diego County, California",184
567,"Census Tract 200.29, San Diego County, California",255
568,"Census Tract 201.03, San Diego County, California",218
569,"Census Tract 201.05, San Diego County, California",117
570,"Census Tract 201.06, San Diego County, California",103
571,"Census Tract 201.07, San Diego County, California",80
572,"Census Tract 201.08, San Diego County, California",243
573,"Census Tract 201.09, San Diego County, California",55
574,"Census Tract 202.02, San Diego County, California",448
575,"Census Tract 202.06, San Diego County, California",297
576,"Census Tract 202.07, San Diego County, California",238
577,"Census Tract 202.08, San Diego County, California",53
578,"Census Tract 202.09, San Diego County, California",207
579,"Census Tract 202.10, San Diego County, California",116
580,"Census Tract 202.11, San Diego County, California",270
581,"Census Tract 202.13, San Diego County, California",284
582,"Census Tract 202.14, San Diego County, California",239
583,"Census Tract 203.04, San Diego County, California",29
584,"Census Tract 203.05, San Diego County, California",143
585,"Census Tract 203.06, San Diego County, California",145
586,"Census Tract 203.07, San Diego County, California",253
587,"Census Tract 203.08, San Diego County, California",339
588,"Census Tract 203.09, San Diego County, California",36
589,"Census Tract 204.01, San Diego County, California",12
590,"Census Tract 204.03, San Diego County, California",65
591,"Census Tract 204.04, San Diego County, California",110
592,"Census Tract 204.05, San Diego County, California",0
593,"Census Tract 205, San Diego County, California",183
594,"Census Tract 206.01, San Diego County, California",242
595,"Census Tract 206.02, San Diego County, California",245
596,"Census Tract 207.05, San Diego County, California",48
597,"Census Tract 207.06, San Diego County, California",45
598,"Census Tract 207.07, San Diego County, California",212
599,"Census Tract 207.08, San Diego County, California",24
600,"Census Tract 207.09, San Diego County, California",83
601,"Census Tract 207.10, San Diego County, California",20
602,"Census Tract 208.01, San Diego County, California",135
603,"Census Tract 208.05, San Diego County, California",56
604,"Census Tract 208.06, San Diego County, California",185
605,"Census Tract 208.07, San Diego County, California",14
606,"Census Tract 208.09, San Diego County, California",48
607,"Census Tract 208.10, San Diego County, California",38
608,"Census Tract 208.11, San Diego County, California",49
609,"Census Tract 209.02, San Diego County, California",39
610,"Census Tract 209.03, San Diego County, California",161
611,"Census Tract 209.04, San Diego County, California",60
612,"Census Tract 210, San Diego County, California",99
613,"Census Tract 211, San Diego County, California",153
614,"Census Tract 212.02, San Diego County, California",45
615,"Census Tract 212.04, San Diego County, California",30
616,"Census Tract 212.05, San Diego County, California",265
617,"Census Tract 212.06, San Diego County, California",12
618,"Census Tract 213.02, San Diego County, California",92
619,"Census Tract 213.03, San Diego County, California",68
620,"Census Tract 213.04, San Diego County, California",22
621,"Census Tract 214, San Diego County, California",77
622,"Census Tract 215, San Diego County, California",70
623,"Census Tract 216, San Diego County, California",0
624,"Census Tract 218, San Diego County, California",9
625,"Census Tract 219, San Diego County, California",137
626,"Census Tract 220, San Diego County, California",179
627,"Census Tract 221, San Diego County, California",67